Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimID
Dec,1.0,Sunday,Mazda,Urban,Monday,Dec,3.0,,,34.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1265.0,,400.0,4.0,more than 30,more than 30,1,6 years,31 to 35,,No,External,1 to 2,no change,1 vehicle,2019.0,Collision,1264
Feb,3.0,Monday,,Urban,Wednesday,,3.0,Male,,52.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,1266.0,2.0,400.0,1.0,more than 30,more than 30,1,more than 7,41 to 50,No,,External,none,no change,,2019.0,,1265
,,Tuesday,,Urban,Monday,,,Male,Single,,Third Party,Sedan - Collision,Sedan,,1267.0,,400.0,4.0,more than 30,more than 30,none,4 years,26 to 30,No,No,,none,no change,1 vehicle,2019.0,Collision,1266
,2.0,Sunday,Honda,Urban,,Dec,,,Married,39.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,1268.0,3.0,400.0,3.0,more than 30,,,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,2019.0,Collision,1267
Dec,3.0,Thursday,Pontiac,Urban,Tuesday,Dec,3.0,Male,Married,43.0,Third Party,Utility - All Perils,Utility,more than 69000,1269.0,13.0,400.0,4.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,2019.0,All Perils,1268
Dec,2.0,Wednesday,Pontiac,Urban,,Dec,3.0,Female,Single,27.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,1270.0,5.0,400.0,4.0,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,,Collision,1269
Dec,2.0,Tuesday,Chevrolet,Urban,Thursday,Dec,3.0,Male,Married,36.0,Policy Holder,Utility - All Perils,Utility,more than 69000,1271.0,16.0,400.0,1.0,more than 30,more than 30,2 to 4,7 years,,,No,External,more than 5,no change,1 vehicle,2019.0,All Perils,1270
Dec,1.0,Sunday,Pontiac,Urban,Friday,Dec,3.0,,Single,,Third Party,Sedan - Collision,Sedan,30000 to 39000,1272.0,14.0,400.0,,more than 30,more than 30,2 to 4,2 years,21 to 25,No,No,External,more than 5,no change,3 to 4,2019.0,Collision,1271
Dec,1.0,Saturday,Honda,Urban,,Dec,3.0,Male,Married,27.0,Policy Holder,,,30000 to 39000,1273.0,,400.0,3.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,2019.0,All Perils,1272
sep,4.0,monday,pontiac,urban,tuesday,sep,4.0,male,married,49.0,policy holder,sedan - collision,sedan,20000 to 29000,1274.0,4.0,400.0,1.0,more than 30,more than 30,none,more than 7,41 to 50,no,no,external,none,no change,1 vehicle,2019.0,collision,1273
sep,3.0,monday,chevrolet,urban,wednesday,sep,4.0,male,married,42.0,policy holder,sedan - collision,sedan,20000 to 29000,1275.0,8.0,400.0,3.0,more than 30,more than 30,more than 4,more than 7,36 to 40,no,no,external,1 to 2,1 year,1 vehicle,2019.0,collision,1274
sep,2.0,friday,vw,urban,tuesday,sep,2.0,male,single,42.0,policy holder,sedan - collision,sedan,more than 69000,1276.0,15.0,,,more than 30,more than 30,2 to 4,more than 7,36 to 40,no,no,internal,more than 5,2 to 3 years,1 vehicle,2019.0,collision,1275
feb,,monday,toyota,urban,thursday,feb,,male,,29.0,third party,sedan - collision,sedan,20000 to 29000,1277.0,14.0,400.0,2.0,more than 30,more than 30,2 to 4,6 years,31 to 35,no,no,,1 to 2,no change,1 vehicle,2019.0,collision,1276
sep,2.0,saturday,honda,urban,monday,sep,2.0,female,married,61.0,third party,,sedan,20000 to 29000,1278.0,7.0,400.0,2.0,more than 30,more than 30,1,more than 7,51 to 65,no,no,external,more than 5,no change,1 vehicle,2019.0,collision,1277
Sep,1.0,Tuesday,Mazda,Urban,Tuesday,Sep,1.0,Female,Single,30.0,Policy Holder,,Sedan,20000 to 29000,1279.0,16.0,,2.0,more than 30,more than 30,1,6 years,,Yes,No,,3 to 5,no change,1 vehicle,2019.0,Collision,1278
Sep,1.0,Saturday,Pontiac,Urban,Monday,Sep,1.0,,Married,,Policy Holder,,Sport,20000 to 29000,1280.0,11.0,400.0,4.0,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,Liability,1279
,1.0,tuesday,mazda,urban,thursday,sep,2.0,male,,44.0,policy holder,sedan - liability,sport,30000 to 39000,1281.0,3.0,400.0,3.0,more than 30,more than 30,2 to 4,7 years,36 to 40,no,,external,none,no change,1 vehicle,2019.0,liability,1280
,3.0,sunday,mazda,urban,monday,dec,3.0,male,single,21.0,policy holder,sedan - liability,sport,30000 to 39000,1282.0,1.0,400.0,4.0,more than 30,more than 30,2 to 4,,26 to 30,no,,internal,none,no change,,2019.0,liability,1281
Dec,3.0,Saturday,VW,,Monday,Dec,3.0,Male,Married,46.0,Policy Holder,Sedan - Liability,,40000 to 59000,1283.0,5.0,400.0,3.0,more than 30,more than 30,1,more than 7,41 to 50,,No,,3 to 5,no change,1 vehicle,2019.0,Liability,1282
dec,3.0,friday,pontiac,urban,monday,dec,3.0,male,married,31.0,policy holder,sedan - collision,sedan,20000 to 29000,1284.0,3.0,400.0,2.0,more than 30,more than 30,2 to 4,6 years,31 to 35,no,no,external,1 to 2,,1 vehicle,2019.0,collision,1283
Dec,3.0,Wednesday,Accura,,Thursday,Dec,5.0,Male,Married,39.0,,Utility - All Perils,Utility,more than 69000,1285.0,12.0,,4.0,more than 30,,1,7 years,,No,No,External,none,no change,1 vehicle,2019.0,All Perils,1284
Dec,2.0,,Ford,Urban,Tuesday,Dec,4.0,Female,,,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1286.0,16.0,400.0,1.0,more than 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,External,none,no change,1 vehicle,2019.0,Liability,1285
Dec,1.0,Thursday,,Urban,Thursday,Dec,5.0,Male,Married,42.0,Policy Holder,Utility - All Perils,Utility,40000 to 59000,1287.0,11.0,,3.0,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,,2019.0,All Perils,1286
Sep,1.0,Friday,Pontiac,Rural,Monday,Sep,1.0,Male,Married,37.0,Policy Holder,Sedan - Liability,Sport,less than 20000,1288.0,11.0,400.0,,more than 30,more than 30,,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,2019.0,Liability,1287
mar,1.0,saturday,mazda,rural,,mar,4.0,male,single,31.0,policy holder,sedan - all perils,sedan,,1289.0,10.0,400.0,3.0,more than 30,more than 30,none,6 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,all perils,1288
feb,2.0,thursday,chevrolet,urban,monday,feb,3.0,male,married,44.0,policy holder,sedan - liability,sport,40000 to 59000,1290.0,4.0,400.0,,more than 30,more than 30,2 to 4,7 years,36 to 40,no,no,external,3 to 5,no change,,2019.0,liability,1289
feb,,monday,mercury,urban,friday,,1.0,male,married,49.0,policy holder,sedan - liability,sport,20000 to 29000,1291.0,14.0,400.0,4.0,more than 30,,more than 4,more than 7,41 to 50,,no,external,none,,1 vehicle,2019.0,liability,1290
feb,4.0,thursday,toyota,urban,friday,feb,4.0,male,married,30.0,,sedan - liability,sport,20000 to 29000,1292.0,,400.0,3.0,more than 30,,2 to 4,7 years,31 to 35,no,no,external,more than 5,no change,,2019.0,liability,1291
Feb,1.0,,Pontiac,Urban,Friday,Feb,,Female,Married,49.0,Policy Holder,Sedan - Liability,,20000 to 29000,1293.0,,400.0,2.0,more than 30,,more than 4,,41 to 50,No,,Internal,more than 5,,1 vehicle,2019.0,Liability,1292
dec,3.0,tuesday,pontiac,urban,tuesday,dec,3.0,male,married,26.0,,sedan - collision,,20000 to 29000,1294.0,,400.0,3.0,more than 30,more than 30,2 to 4,5 years,31 to 35,no,no,external,,no change,,2019.0,collision,1293
Mar,1.0,Thursday,Toyota,Urban,Thursday,Mar,1.0,Female,Married,33.0,Policy Holder,,Sport,20000 to 29000,1295.0,13.0,400.0,2.0,more than 30,more than 30,2 to 4,5 years,31 to 35,No,,External,none,no change,1 vehicle,2019.0,Liability,1294
sep,4.0,wednesday,pontiac,urban,tuesday,sep,5.0,female,single,30.0,policy holder,sedan - collision,sedan,20000 to 29000,1296.0,16.0,400.0,1.0,more than 30,more than 30,2 to 4,,31 to 35,no,no,external,more than 5,no change,1 vehicle,2019.0,collision,1295
Apr,1.0,Tuesday,Pontiac,Urban,,Apr,1.0,Male,Married,50.0,Policy Holder,Utility - All Perils,Utility,40000 to 59000,1297.0,,400.0,3.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,,No,,3 to 5,no change,1 vehicle,2019.0,All Perils,1296
Apr,,Saturday,Accura,Urban,Tuesday,Apr,1.0,Male,Married,44.0,Policy Holder,Sedan - Collision,Sedan,more than 69000,1298.0,9.0,400.0,4.0,more than 30,,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,2019.0,Collision,1297
,,tuesday,honda,urban,monday,apr,,male,married,38.0,policy holder,sedan - liability,sport,,1299.0,8.0,400.0,2.0,more than 30,more than 30,more than 4,7 years,36 to 40,no,no,external,none,no change,1 vehicle,2019.0,liability,1298
Apr,1.0,Wednesday,Chevrolet,Urban,Thursday,Apr,2.0,Male,Married,50.0,Policy Holder,Sedan - Collision,,20000 to 29000,1300.0,5.0,400.0,2.0,more than 30,more than 30,1,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,2019.0,Collision,1299
Jun,3.0,Monday,Toyota,Urban,Thursday,Jun,,Male,Married,32.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,1301.0,13.0,400.0,3.0,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,2019.0,Collision,1300
Oct,4.0,Tuesday,Mazda,Urban,,Oct,4.0,Male,,,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1302.0,13.0,400.0,4.0,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,no change,,2019.0,Liability,1301
Nov,2.0,Tuesday,Mazda,Urban,Tuesday,Nov,2.0,Male,Married,43.0,Policy Holder,Sedan - Liability,,30000 to 39000,1303.0,,700.0,3.0,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,,Liability,1302
Jan,4.0,Tuesday,Mazda,,Friday,Mar,1.0,Male,Married,38.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1304.0,2.0,400.0,2.0,more than 30,more than 30,2 to 4,7 years,36 to 40,,No,External,3 to 5,no change,1 vehicle,2019.0,Liability,1303
Dec,4.0,Thursday,Toyota,,Thursday,,4.0,Male,Married,55.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1305.0,14.0,400.0,2.0,more than 30,,2 to 4,,41 to 50,,No,External,1 to 2,no change,1 vehicle,2019.0,Collision,1304
May,1.0,,Toyota,Urban,Thursday,May,2.0,Male,,25.0,Policy Holder,Sedan - All Perils,Sedan,,1306.0,,400.0,4.0,more than 30,more than 30,1,4 years,26 to 30,,No,External,1 to 2,no change,,2019.0,All Perils,1305
Jun,3.0,Thursday,Mazda,Urban,Tuesday,Jun,5.0,Male,Married,36.0,,Sedan - All Perils,Sedan,20000 to 29000,1307.0,9.0,400.0,3.0,more than 30,,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,2019.0,All Perils,1306
jun,3.0,thursday,pontiac,rural,,jun,3.0,male,married,28.0,third party,sedan - collision,,20000 to 29000,1308.0,4.0,400.0,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,collision,1307
jul,3.0,monday,mazda,urban,tuesday,sep,2.0,female,,40.0,third party,sedan - liability,sport,,1309.0,7.0,400.0,3.0,none,,,,36 to 40,no,no,external,none,no change,1 vehicle,2019.0,liability,1308
Oct,1.0,Tuesday,Chevrolet,Urban,Wednesday,Oct,1.0,Male,Married,64.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,1310.0,,400.0,3.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,,No,External,none,no change,1 vehicle,2019.0,Collision,1309
Oct,4.0,Thursday,Chevrolet,Urban,Monday,Nov,3.0,Male,Married,34.0,Third Party,Sedan - Collision,Sedan,,1311.0,11.0,400.0,1.0,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,2019.0,Collision,1310
dec,4.0,thursday,ford,urban,thursday,dec,4.0,,single,50.0,policy holder,sedan - liability,sport,30000 to 39000,1312.0,1.0,400.0,,more than 30,more than 30,2 to 4,more than 7,41 to 50,no,no,external,more than 5,no change,1 vehicle,2019.0,liability,1311
nov,3.0,friday,bmw,urban,monday,dec,1.0,male,,53.0,policy holder,sedan - all perils,sedan,20000 to 29000,1313.0,4.0,400.0,4.0,more than 30,more than 30,none,7 years,,no,no,external,none,no change,3 to 4,2019.0,all perils,1312
nov,2.0,wednesday,pontiac,urban,wednesday,nov,2.0,male,married,37.0,policy holder,sedan - liability,sport,30000 to 39000,1314.0,2.0,400.0,1.0,,more than 30,2 to 4,7 years,36 to 40,no,no,,3 to 5,no change,1 vehicle,2019.0,liability,1313
Jun,4.0,Sunday,Honda,Urban,Wednesday,,5.0,Female,Married,26.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1315.0,12.0,400.0,3.0,more than 30,more than 30,1,3 years,,No,No,External,,no change,1 vehicle,2019.0,All Perils,1314
Jul,3.0,Tuesday,Toyota,Urban,Tuesday,Jul,3.0,,Married,54.0,Policy Holder,,Sport,20000 to 29000,1316.0,2.0,400.0,3.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,,No,External,3 to 5,no change,1 vehicle,2019.0,Liability,1315
Jul,5.0,Saturday,Chevrolet,,Monday,Jul,5.0,Male,Single,26.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1317.0,10.0,400.0,3.0,more than 30,more than 30,1,7 years,,Yes,No,External,1 to 2,no change,1 vehicle,2019.0,Collision,1316
Feb,5.0,,Honda,Urban,Thursday,,2.0,Male,Married,35.0,Policy Holder,,Sport,more than 69000,,1.0,400.0,3.0,more than 30,more than 30,,new,31 to 35,No,No,External,none,no change,1 vehicle,2019.0,Liability,1317
Nov,2.0,Monday,Ford,Urban,Monday,Nov,2.0,,Single,30.0,Policy Holder,Sedan - Liability,Sport,40000 to 59000,1319.0,4.0,400.0,4.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,2019.0,Liability,1318
Jul,3.0,Friday,Pontiac,,Monday,Jul,3.0,,Married,48.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1320.0,2.0,400.0,4.0,more than 30,,more than 4,more than 7,41 to 50,No,No,,1 to 2,no change,1 vehicle,2019.0,All Perils,1319
feb,3.0,,pontiac,urban,thursday,feb,3.0,,married,,third party,sedan - all perils,sedan,20000 to 29000,1321.0,,400.0,1.0,more than 30,more than 30,none,,36 to 40,no,no,external,none,no change,1 vehicle,2019.0,all perils,1320
jun,5.0,,honda,urban,,jul,2.0,male,married,35.0,policy holder,sedan - liability,sport,,1322.0,,400.0,2.0,,more than 30,more than 4,5 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,liability,1321
aug,,monday,,rural,tuesday,aug,1.0,,married,52.0,third party,sedan - all perils,sedan,30000 to 39000,1323.0,4.0,400.0,3.0,more than 30,more than 30,none,more than 7,41 to 50,,no,external,more than 5,no change,1 vehicle,2019.0,all perils,1322
,,wednesday,pontiac,urban,,jul,5.0,male,married,61.0,policy holder,sedan - all perils,sedan,20000 to 29000,,12.0,400.0,2.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,,no,external,none,4 to 8 years,,2019.0,all perils,1323
Jul,4.0,Monday,Honda,Urban,Tuesday,,4.0,,Married,44.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1325.0,13.0,400.0,2.0,more than 30,more than 30,more than 4,7 years,36 to 40,,No,External,1 to 2,no change,1 vehicle,2019.0,Liability,1324
Aug,3.0,Wednesday,Honda,Urban,Thursday,Aug,3.0,Male,Married,37.0,Policy Holder,,Sport,,1326.0,12.0,400.0,3.0,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,2019.0,,1325
Aug,3.0,Thursday,Pontiac,Urban,Thursday,Aug,3.0,Male,Married,55.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1327.0,14.0,500.0,4.0,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,1 to 2,2 to 3 years,1 vehicle,2019.0,Collision,1326
Oct,4.0,Monday,Mazda,Urban,Tuesday,Oct,4.0,,Married,54.0,,Sedan - All Perils,Sedan,20000 to 29000,,4.0,400.0,,,more than 30,none,,41 to 50,No,No,,none,no change,1 vehicle,2019.0,,1327
Feb,3.0,Wednesday,Honda,Urban,Tuesday,Feb,4.0,Male,Married,43.0,Third Party,Sport - Collision,,more than 69000,1329.0,9.0,400.0,1.0,more than 30,more than 30,none,6 years,36 to 40,,No,External,more than 5,no change,1 vehicle,,Collision,1328
Nov,4.0,Tuesday,Pontiac,Urban,Wednesday,Nov,4.0,Male,Married,35.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1330.0,14.0,400.0,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,,Liability,1329
nov,3.0,thursday,toyota,urban,thursday,nov,3.0,male,single,32.0,policy holder,sedan - collision,sedan,,1331.0,3.0,400.0,1.0,more than 30,more than 30,none,5 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,collision,1330
may,1.0,friday,chevrolet,urban,monday,may,2.0,male,married,64.0,policy holder,sedan - collision,sedan,30000 to 39000,1332.0,9.0,400.0,2.0,more than 30,more than 30,1,more than 7,51 to 65,no,no,external,1 to 2,no change,,2019.0,collision,1331
,1.0,Friday,Mazda,Urban,Monday,May,2.0,,,27.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1333.0,12.0,400.0,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,2019.0,Collision,1332
Feb,3.0,Thursday,,Urban,Monday,,,Male,Married,48.0,Third Party,Sedan - Collision,,20000 to 29000,1334.0,,700.0,1.0,more than 30,more than 30,1,,41 to 50,No,No,External,3 to 5,no change,1 vehicle,2019.0,Collision,1333
Aug,2.0,Thursday,Pontiac,,Friday,Aug,2.0,Male,Married,,Third Party,Sedan - Collision,,20000 to 29000,1335.0,15.0,400.0,1.0,,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,,1 vehicle,2019.0,Collision,1334
Aug,5.0,Tuesday,Chevrolet,Urban,Wednesday,Sep,1.0,,Married,49.0,Third Party,Sedan - All Perils,,,1336.0,2.0,400.0,2.0,more than 30,more than 30,2 to 4,,41 to 50,No,No,External,more than 5,no change,1 vehicle,,All Perils,1335
Aug,,Friday,Pontiac,Rural,Friday,Aug,3.0,Female,Married,34.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1337.0,13.0,400.0,2.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,,1 vehicle,2019.0,Collision,1336
oct,1.0,monday,pontiac,urban,monday,oct,1.0,,married,42.0,policy holder,sedan - liability,sport,20000 to 29000,1338.0,8.0,,,more than 30,,,more than 7,36 to 40,no,no,external,1 to 2,,1 vehicle,2019.0,liability,1337
,3.0,Thursday,Honda,Urban,Friday,Feb,,Male,Single,29.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1339.0,,400.0,3.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,,Collision,1338
,5.0,Tuesday,Toyota,Urban,Tuesday,Nov,5.0,Male,Married,35.0,Policy Holder,,Sport,30000 to 39000,1340.0,14.0,,,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,2019.0,Liability,1339
Nov,4.0,Sunday,Pontiac,Urban,Tuesday,Dec,1.0,Male,Married,47.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1341.0,12.0,,3.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,2019.0,Liability,1340
Sep,3.0,,Toyota,Urban,Tuesday,Oct,1.0,Male,Married,40.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,1.0,,2.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,2019.0,Collision,1341
Aug,3.0,Saturday,Pontiac,Urban,Monday,,4.0,Male,Married,37.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1343.0,,400.0,,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,2019.0,Liability,1342
May,5.0,Tuesday,Pontiac,Urban,Thursday,Jun,1.0,Male,Single,29.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,1344.0,9.0,400.0,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,,,3 to 5,no change,1 vehicle,2019.0,All Perils,1343
apr,4.0,thursday,honda,urban,thursday,may,1.0,,married,36.0,third party,sedan - all perils,sedan,20000 to 29000,1345.0,1.0,400.0,2.0,1 to 7,15 to 30,none,7 years,36 to 40,no,no,external,none,4 to 8 years,2 vehicles,2019.0,,1344
Apr,4.0,Tuesday,Honda,Urban,Tuesday,May,1.0,,Married,49.0,Third Party,Sport - Collision,Sport,more than 69000,1346.0,4.0,400.0,2.0,more than 30,more than 30,1,7 years,,No,No,External,,no change,1 vehicle,2019.0,Collision,1345
Apr,4.0,Wednesday,Chevrolet,Urban,Thursday,Apr,4.0,Male,Married,56.0,Policy Holder,Sedan - Collision,Sedan,more than 69000,1347.0,2.0,,3.0,more than 30,,more than 4,more than 7,51 to 65,No,No,,more than 5,no change,1 vehicle,2019.0,Collision,1346
Apr,2.0,Wednesday,Pontiac,Urban,Friday,Apr,4.0,Male,,43.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1348.0,11.0,400.0,1.0,more than 30,,2 to 4,7 years,36 to 40,No,,External,3 to 5,no change,1 vehicle,2019.0,,1347
dec,4.0,monday,mazda,urban,tuesday,dec,4.0,female,,26.0,policy holder,sedan - collision,sedan,20000 to 29000,1349.0,15.0,400.0,3.0,more than 30,more than 30,none,5 years,31 to 35,no,,external,none,,1 vehicle,2019.0,collision,1348
Dec,,Thursday,,,,Dec,4.0,Male,Married,53.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1350.0,15.0,,,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,,1 vehicle,2019.0,Collision,1349
,4.0,Wednesday,Chevrolet,Urban,Thursday,,4.0,Male,Married,50.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1351.0,,,2.0,more than 30,,2 to 4,more than 7,41 to 50,No,No,External,none,,,,Collision,1350
dec,2.0,saturday,chevrolet,urban,wednesday,,3.0,female,married,32.0,,sedan - liability,sport,30000 to 39000,1352.0,15.0,400.0,4.0,more than 30,more than 30,2 to 4,,31 to 35,no,,external,1 to 2,no change,1 vehicle,2019.0,liability,1351
nov,5.0,tuesday,pontiac,,,dec,5.0,male,single,33.0,third party,sedan - collision,sedan,20000 to 29000,1353.0,9.0,400.0,3.0,more than 30,,2 to 4,6 years,31 to 35,no,no,external,1 to 2,no change,1 vehicle,2019.0,collision,1352
,2.0,Saturday,Honda,,Monday,Nov,3.0,,Married,43.0,Policy Holder,,Sedan,less than 20000,1354.0,2.0,400.0,2.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,3 to 4,2019.0,All Perils,1353
oct,1.0,wednesday,toyota,urban,tuesday,oct,2.0,,single,37.0,policy holder,sedan - collision,sedan,20000 to 29000,1355.0,,400.0,1.0,more than 30,more than 30,none,7 years,36 to 40,no,no,external,more than 5,no change,1 vehicle,2019.0,collision,1354
,4.0,monday,toyota,urban,tuesday,sep,4.0,male,,33.0,,sedan - collision,sedan,20000 to 29000,1356.0,16.0,400.0,3.0,more than 30,more than 30,2 to 4,6 years,31 to 35,no,no,external,,no change,1 vehicle,2019.0,collision,1355
,3.0,sunday,toyota,urban,tuesday,sep,3.0,female,married,49.0,,sedan - all perils,sedan,less than 20000,,13.0,400.0,3.0,more than 30,more than 30,none,6 years,41 to 50,no,no,external,none,no change,1 vehicle,2019.0,all perils,1356
Sep,3.0,Monday,Chevrolet,Urban,Thursday,,4.0,Male,Single,,Policy Holder,Utility - All Perils,Utility,more than 69000,1358.0,13.0,400.0,3.0,more than 30,more than 30,2 to 4,,36 to 40,No,No,,1 to 2,,1 vehicle,2019.0,,1357
sep,3.0,thursday,toyota,urban,monday,oct,1.0,male,single,28.0,,sedan - collision,sedan,20000 to 29000,1359.0,5.0,400.0,3.0,more than 30,more than 30,1,6 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,collision,1358
sep,,tuesday,honda,urban,tuesday,sep,2.0,female,single,30.0,policy holder,sedan - liability,sport,20000 to 29000,1360.0,6.0,400.0,3.0,,more than 30,1,6 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,liability,1359
Sep,1.0,Monday,,Urban,Monday,Sep,1.0,Female,Single,28.0,Policy Holder,Sedan - Liability,Sport,,1361.0,5.0,400.0,3.0,more than 30,,,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,2019.0,Liability,1360
aug,1.0,friday,mazda,,tuesday,aug,3.0,male,married,49.0,policy holder,sedan - all perils,sedan,20000 to 29000,1362.0,15.0,400.0,4.0,more than 30,more than 30,,7 years,41 to 50,no,no,external,more than 5,no change,1 vehicle,2019.0,all perils,1361
Aug,1.0,Thursday,Mazda,Rural,Friday,Aug,1.0,Male,Married,51.0,Policy Holder,Sedan - Collision,Sedan,,1363.0,10.0,400.0,2.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,2019.0,,1362
Jul,4.0,Saturday,Honda,Urban,Thursday,Aug,2.0,,Married,39.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1364.0,10.0,400.0,1.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,,1 vehicle,2019.0,,1363
Jun,4.0,Wednesday,Honda,,Thursday,Jun,5.0,Male,Single,0.0,Third Party,Sedan - All Perils,Sedan,more than 69000,1365.0,,400.0,2.0,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,2019.0,All Perils,1364
Jun,4.0,Thursday,Honda,Urban,Tuesday,Jul,1.0,Male,Married,32.0,Policy Holder,,,20000 to 29000,1366.0,11.0,400.0,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,,1 year,2 vehicles,,Collision,1365
Feb,3.0,Friday,Mazda,Urban,Friday,Feb,,Male,Married,,,Sedan - Collision,Sedan,20000 to 29000,1367.0,14.0,400.0,1.0,more than 30,,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,Collision,1366
Nov,4.0,Tuesday,Honda,Urban,Tuesday,Nov,4.0,,Single,26.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1368.0,7.0,,,more than 30,more than 30,more than 4,6 years,31 to 35,No,,External,none,no change,1 vehicle,2019.0,,1367
